method,dataset,description,num_runs,final_accuracy_mean,final_accuracy_std,final_loss_mean,final_loss_std,best_accuracy_mean,best_accuracy_std,accuracy_gain_mean,accuracy_gain_std,loss_drop_mean,loss_drop_std,accuracy_auc_mean,accuracy_auc_std,round_to_convergence_mean,round_to_convergence_std,total_client_uploads_mean,total_client_uploads_std,total_cloud_uploads_mean,total_cloud_uploads_std,total_payload_to_edge_scalars_mean,total_payload_to_edge_scalars_std,total_payload_to_cloud_scalars_mean,total_payload_to_cloud_scalars_std,total_payload_to_edge_bytes_mean,total_payload_to_edge_bytes_std,total_payload_to_cloud_bytes_mean,total_payload_to_cloud_bytes_std,total_payload_bytes_mean,total_payload_bytes_std,mean_round_latency_proxy_ms_mean,mean_round_latency_proxy_ms_std,mean_train_time_proxy_ms_mean,mean_train_time_proxy_ms_std,total_energy_proxy_mean,total_energy_proxy_std,mean_communication_reduction_mean,mean_communication_reduction_std,final_selection_fairness_mean,final_selection_fairness_std,client_coverage_ratio_mean,client_coverage_ratio_std,max_selection_count_mean,max_selection_count_std,min_selection_count_mean,min_selection_count_std,selection_count_std_mean,selection_count_std_std,total_filtered_updates_mean,total_filtered_updates_std,total_attack_clients_mean,total_attack_clients_std,attack_detection_rate_mean,attack_detection_rate_std,benign_retention_rate_mean,benign_retention_rate_std
flat_fedavg_random,digits,Traditional flat FedAvg with random client selection.,3,0.0972222238779068,0.0039283707724427725,113.05088551839192,57.92432253144012,0.20277778307596842,0.054480340467878176,-0.08240740994612376,0.07712468766419991,-110.42486468950908,57.97863264169454,0.10891203923771779,0.011039749980744848,1.6666666666666667,0.9428090415820634,64,0.0,64,0.0,0,0.0,154240,0.0,0,0.0,616960,0.0,616960,0.0,195.27083333333334,6.494906524645978,69.42,1.658030960708108,1039.9238401693983,62.30722654623595,0.0,0.0,0.8574088120990776,0.03827832829075621,0.9666666666666667,0.04714045207910316,5.666666666666667,0.4714045207910317,1,0.816496580927726,1.2974806932715273,0.2078713959502457,0,0.0,16,0.0,0.0,0.0,1.0,0.0
hierarchical_intelligent_fedavg,digits,Intelligent selection with plain FedAvg aggregation.,3,0.09629629800717036,0.017322486869230474,146.64599609375,124.28648280176607,0.1314814810951551,0.023606570415127492,-0.0046296293536822,0.009166198469033136,-143.9493068854014,124.34772050190544,0.101851853231589,0.015283913400927341,2,0.816496580927726,64,0.0,16,0.0,154240,0.0,38560,0.0,616960,0.0,154240,0.0,771200,0.0,107.25,5.044592814753899,69.42,2.02510905056164,743.0955600529859,162.19188258030303,0.75,0.0,0.4614211009617708,0.03730450280337456,0.55,0.07071067811865477,8,0.0,0,0.0,3.468139079383471,0.25562601469041485,0,0.0,16,0.0,0.0,0.0,1.0,0.0
hierarchical_intelligent_no_fairness,digits,Weighted hierarchy with filtering but without fairness-aware selection.,3,0.7740740776062012,0.05594002637662648,0.6084060072898865,0.10837290221593038,0.7740740776062012,0.05594002637662648,0.5787037114302317,0.10344710016422745,1.5920580824216206,0.10502212269440749,0.594444447507461,0.033583173989226944,5.333333333333333,1.247219128924647,64,0.0,16,0.0,154240,0.0,38560,0.0,616960,0.0,154240,0.0,771200,0.0,107.79166666666667,5.498421490654285,69.24666666666667,2.0398910646295683,525.096359630505,84.7051701942926,0.75,0.0,0.46374302753364166,0.03467476716465801,0.55,0.07071067811865477,8,0.0,0,0.0,3.450325503620977,0.23506152186747922,16,0.0,16,0.0,1.0,0.0,1.0,0.0
hierarchical_intelligent_no_filter,digits,Fairness-aware weighted hierarchy without anomaly filtering.,3,0.10740740845600764,0.0013094569241475908,95.51547876993816,53.888614861026795,0.10833333432674408,0.002268045922946493,0.0092592587073644,0.013094569241475907,-92.8550587495168,53.87537866667759,0.10636574185142915,0.0030314352021153326,1.3333333333333333,0.4714045207910317,64,0.0,16,0.0,154240,0.0,38560,0.0,616960,0.0,154240,0.0,771200,0.0,112.83333333333333,5.868643132975647,69.50666666666667,1.8547476617828396,876.5467968860502,165.3920687451175,0.75,0.0,0.6972724123899936,0.02179097782161209,0.9833333333333333,0.023570226039551605,7.666666666666667,0.4714045207910317,0.6666666666666666,0.4714045207910317,2.1090698886590404,0.1087391592377975,0,0.0,16,0.0,0.0,0.0,1.0,0.0
hierarchical_random_fedavg,digits,Hierarchical aggregation without intelligent selection or edge security.,3,0.11666666716337204,0.04380324247251155,93.98212051391602,50.289754537599855,0.18425926069418588,0.007965118400286113,-0.009259263674418131,0.050324731685879816,-90.38831806182861,50.05452304555987,0.11597222400208314,0.006256425967737424,4.333333333333333,2.0548046676563256,64,0.0,16,0.0,154240,0.0,38560,0.0,616960,0.0,154240,0.0,771200,0.0,116.33333333333333,4.941673693081008,69.33333333333333,2.1475153601830725,1086.7754581378192,131.6953844622938,0.75,0.0,0.8123894357249254,0.03925561557965989,0.9666666666666667,0.023570226039551605,6,0.0,0.3333333333333333,0.4714045207910317,1.533825941597357,0.2017704493138543,0,0.0,16,0.0,0.0,0.0,1.0,0.0
proposed,digits,"Full hierarchical method with fairness-aware selection, weighted aggregation, and anomaly filtering.",3,0.8268518447875977,0.03804193892918823,0.5470877091089884,0.13065081270506426,0.829629639784495,0.03602792296432473,0.6657407333453497,0.044579286614303014,1.6378085215886433,0.13755351331472745,0.6074074128021797,0.03766396759885297,5.666666666666667,0.4714045207910317,64,0.0,16,0.0,154240,0.0,38560,0.0,616960,0.0,154240,0.0,771200,0.0,114.41666666666667,4.804873105041959,69.76666666666667,2.017677432649287,627.8172712248285,84.74287417941434,0.75,0.0,0.708019908019908,0.011404229571206192,0.9833333333333333,0.023570226039551605,7.666666666666667,0.4714045207910317,0.6666666666666666,0.4714045207910317,2.0551013287760798,0.056790801451099444,16,0.0,16,0.0,1.0,0.0,1.0,0.0
