method,client_id,num_runs,data_size_mean,data_size_std,selection_count_mean,selection_count_std,accepted_update_count_mean,accepted_update_count_std,rejected_update_count_mean,rejected_update_count_std,acceptance_rate_mean,acceptance_rate_std,selection_freshness_score_mean,selection_freshness_score_std,selection_pressure_mean,selection_pressure_std,diversity_score_mean,diversity_score_std,historical_utility_mean,historical_utility_std,reliability_score_mean,reliability_score_std,battery_level_mean,battery_level_std,network_latency_mean,network_latency_std
flat_fedavg_random,C1,5,61.6,23.66938951472978,3.4,1.2,3.4,1.2,0,0.0,1.0,0.0,0.35,0.3391164991562634,1.0,0.0,0.5066778901105419,0.058355218744592006,0.33969093873463363,0.05600016980589787,0.7250115667986953,0.030056256383016483,41.8,12.734205903785284,85.2,27.432827050816325
flat_fedavg_random,C10,5,76.8,24.028316628511455,4.2,0.7483314773547883,4.2,0.7483314773547883,0,0.0,1.0,0.0,0.15,0.3,1.0,0.0,0.5675337120104205,0.056495974852612006,0.3134641363462085,0.03805525386611666,0.7291252678358787,0.03719448388095729,46.8,16.436544649043483,70.2,37.2687536684553
flat_fedavg_random,C11,5,56,5.656854249492381,4,0.8944271909999159,4,0.8944271909999159,0,0.0,1.0,0.0,0.2,0.18708286933869708,1.0,0.0,0.5881267514167485,0.07530206951584553,0.38019594927643574,0.07452885832711377,0.7723199259117195,0.07557744943912278,49.6,15.512575543732252,57.6,12.784365451597509
flat_fedavg_random,C12,5,65,20.630075133164205,4,0.6324555320336759,4,0.6324555320336759,0,0.0,1.0,0.0,0.35,0.1224744871391589,1.0,0.0,0.5844715087615917,0.048475630888676145,0.352580520367863,0.04761764371429213,0.739954322203507,0.022083671967580744,50.2,22.61327044016411,70,34.158454297582026
flat_fedavg_random,C13,5,76.6,17.165080832900262,5.4,0.4898979485566356,5.4,0.4898979485566356,0,0.0,1.0,0.0,0.35,0.2,1.0,0.0,0.48543156283261973,0.12846777233849493,0.25085600409849623,0.04487999861710444,0.6831067544499553,0.031225635419682596,48,21.60555484129024,69.8,29.226015807838056
flat_fedavg_random,C14,5,82.8,37.231169737197355,4.6,1.624807680927192,4.6,1.624807680927192,0,0.0,1.0,0.0,0.1,0.2,1.0,0.0,0.6008894056715586,0.045169761846957576,0.31082894810779493,0.038886145684143086,0.6967210077899748,0.030871861617939676,56.4,11.46472851837321,70.4,45.292825038851355
flat_fedavg_random,C15,5,62,5.253570214625479,3.8,0.4,3.8,0.4,0,0.0,1.0,0.0,0.1,0.2,1.0,0.0,0.5882539958119308,0.04391296323771511,0.3202931030293909,0.013973285478156662,0.6989292814146528,0.033487398371041185,38.8,16.117071694324622,84.4,18.24938355123263
flat_fedavg_random,C16,5,77.4,14.554724318928201,3,0.8944271909999159,3,0.8944271909999159,0,0.0,1.0,0.0,0.3,0.4,1.0,0.0,0.5457691093027287,0.0648921020609554,0.35728174585644445,0.054246028404192494,0.7397897336177177,0.034126206882537126,49.2,17.679366504487653,49.8,32.91443452347313
flat_fedavg_random,C17,5,64.8,13.6,3.2,1.1661903789690602,3.2,1.1661903789690602,0,0.0,1.0,0.0,0.5,0.3535533905932738,1.0,0.0,0.5134067456455329,0.10659510199165083,0.3386055213613147,0.07223952175215075,0.7583052761961803,0.044856920070685695,57,16.024980499208105,44,39.084523791393444
flat_fedavg_random,C18,5,72.4,29.213695418416343,2.6,1.624807680927192,2.6,1.624807680927192,0,0.0,0.8,0.4,0.45,0.458257569495584,0.8,0.4,0.5099235665774904,0.10230694022717893,0.4119354240063936,0.13829020974658515,0.7736267027644097,0.04511177236978404,45,20.189105973271822,44,36.41977484828812
