method,client_id,num_runs,data_size_mean,data_size_std,selection_count_mean,selection_count_std,accepted_update_count_mean,accepted_update_count_std,rejected_update_count_mean,rejected_update_count_std,acceptance_rate_mean,acceptance_rate_std,selection_freshness_score_mean,selection_freshness_score_std,selection_pressure_mean,selection_pressure_std,diversity_score_mean,diversity_score_std,historical_utility_mean,historical_utility_std,reliability_score_mean,reliability_score_std,battery_level_mean,battery_level_std,network_latency_mean,network_latency_std
flat_fedavg_random,C1,1,177,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.6126109075161543,0.0,0.5537586616345551,0.0,0.8960512845454875,0.0,76,0.0,86,0.0
flat_fedavg_random,C10,1,46,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5527899713537379,0.0,0.6434764899738082,0.0,0.9912374830107269,0.0,70,0.0,66,0.0
flat_fedavg_random,C2,1,103,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.47710561162629583,0.0,0.5350276971503981,0.0,0.8626340988328574,0.0,94,0.0,96,0.0
flat_fedavg_random,C3,1,149,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.5561931203494539,0.0,0.5275761936024703,0.0,0.880952366088646,0.0,63,0.0,56,0.0
flat_fedavg_random,C4,1,221,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.533464232738056,0.0,0.5086033701923701,0.0,0.892012475485265,0.0,61,0.0,40,0.0
flat_fedavg_random,C5,1,182,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.621843695350803,0.0,0.667645293372781,0.0,0.8391543204419449,0.0,58,0.0,12,0.0
flat_fedavg_random,C6,1,141,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.5746862648797676,0.0,0.546607961251235,0.0,0.8269413139028277,0.0,74,0.0,106,0.0
flat_fedavg_random,C7,1,216,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5770873822895232,0.0,0.5551639037467255,0.0,0.8063513502535578,0.0,57,0.0,26,0.0
flat_fedavg_random,C8,1,79,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6026534720775313,0.0,0.5908021931303991,0.0,0.9315428934624786,0.0,65,0.0,68,0.0
flat_fedavg_random,C9,1,123,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5758741856141364,0.0,0.6197478684878721,0.0,0.8197606651426375,0.0,75,0.0,28,0.0
hierarchical_intelligent_fedavg,C1,1,177,0.0,2,0.0,2,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6126109075161543,0.0,0.4810492079597142,0.0,0.8476102585087828,0.0,76,0.0,86,0.0
hierarchical_intelligent_fedavg,C10,1,46,0.0,1,0.0,1,0.0,0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.5527899713537379,0.0,0.5157039836254239,0.0,0.9124636706896924,0.0,70,0.0,66,0.0
hierarchical_intelligent_fedavg,C2,1,103,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47710561162629583,0.0,0.6169869640692035,0.0,0.8952569086167362,0.0,94,0.0,96,0.0
