method,dataset,description,num_runs,final_accuracy_mean,final_accuracy_std,final_loss_mean,final_loss_std,best_accuracy_mean,best_accuracy_std,final_macro_precision_mean,final_macro_precision_std,final_macro_recall_mean,final_macro_recall_std,final_macro_f1_mean,final_macro_f1_std,final_weighted_f1_mean,final_weighted_f1_std,best_macro_f1_mean,best_macro_f1_std,macro_f1_auc_mean,macro_f1_auc_std,final_balanced_accuracy_mean,final_balanced_accuracy_std,final_worst_class_accuracy_mean,final_worst_class_accuracy_std,mean_worst_class_accuracy_mean,mean_worst_class_accuracy_std,accuracy_gain_mean,accuracy_gain_std,loss_drop_mean,loss_drop_std,accuracy_auc_mean,accuracy_auc_std,round_to_convergence_mean,round_to_convergence_std,total_client_uploads_mean,total_client_uploads_std,total_cloud_uploads_mean,total_cloud_uploads_std,total_payload_to_edge_scalars_mean,total_payload_to_edge_scalars_std,total_payload_to_cloud_scalars_mean,total_payload_to_cloud_scalars_std,total_payload_to_edge_bytes_mean,total_payload_to_edge_bytes_std,total_payload_to_cloud_bytes_mean,total_payload_to_cloud_bytes_std,total_payload_bytes_mean,total_payload_bytes_std,mean_round_latency_proxy_ms_mean,mean_round_latency_proxy_ms_std,mean_train_time_proxy_ms_mean,mean_train_time_proxy_ms_std,total_energy_proxy_mean,total_energy_proxy_std,mean_communication_reduction_mean,mean_communication_reduction_std,final_selection_fairness_mean,final_selection_fairness_std,final_selection_entropy_mean,final_selection_entropy_std,final_participation_gini_mean,final_participation_gini_std,top_20pct_selection_share_mean,top_20pct_selection_share_std,client_coverage_ratio_mean,client_coverage_ratio_std,max_selection_count_mean,max_selection_count_std,min_selection_count_mean,min_selection_count_std,selection_count_std_mean,selection_count_std_std,total_filtered_updates_mean,total_filtered_updates_std,total_attack_clients_mean,total_attack_clients_std,attack_detection_rate_mean,attack_detection_rate_std,attack_escape_rate_mean,attack_escape_rate_std,filter_precision_rate_mean,filter_precision_rate_std,benign_retention_rate_mean,benign_retention_rate_std,mean_safe_client_ratio_mean,mean_safe_client_ratio_std,mean_reference_cosine_mean,mean_reference_cosine_std,min_reference_cosine_mean,min_reference_cosine_std
flat_fedavg_random,digits,Traditional flat FedAvg with random client selection.,1,0.38333332538604736,0.0,1.8927390575408936,0.0,0.38333332538604736,0.0,0.41339528813111287,0.0,0.35801282051282046,0.0,0.2614751326887344,0.0,0.27996581492200673,0.0,0.2614751326887344,0.0,0.18148723270305728,0.0,0.35801282051282046,0.0,0.0,0.0,0.0,0.0,0.21111109852790833,0.0,0.2763075828552246,0.0,0.2777777761220932,0.0,2,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,173.25,0.0,81.12,0.0,55.00923621377446,0.0,0.0,0.0,0.8,0.0,0.9030899869919434,0.0,0.19999999999999996,0.0,0.25,0.0,0.8,0.0,1,0.0,0,0.0,0.4,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6313199750697294,0.0,0.4860330765489314,0.0
hierarchical_intelligent_fedavg,digits,Intelligent selection with plain FedAvg aggregation.,1,0.3499999940395355,0.0,1.9952867031097412,0.0,0.3499999940395355,0.0,0.3939784769572004,0.0,0.34635774963518867,0.0,0.29000078166248977,0.0,0.29427524508708913,0.0,0.29000078166248977,0.0,0.2519856622225257,0.0,0.34635774963518867,0.0,0.0,0.0,0.0,0.0,0.052777767181396484,0.0,0.28446388244628906,0.0,0.3236111104488373,0.0,2,0.0,8,0.0,4,0.0,19280,0.0,9640,0.0,77120,0.0,38560,0.0,115680,0.0,96.5,0.0,76.96,0.0,56.35990856932356,0.0,0.5,0.0,0.64,0.0,0.8278324880759482,0.0,0.375,0.0,0.375,0.0,0.7,0.0,2,0.0,0,0.0,0.6000000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7946766762475619,0.0,0.6781698664620968,0.0
hierarchical_intelligent_no_fairness,digits,Weighted hierarchy with filtering but without fairness-aware selection.,1,0.35555556416511536,0.0,2.00840425491333,0.0,0.35555556416511536,0.0,0.3908843537414966,0.0,0.35248267146133,0.0,0.2939115435481837,0.0,0.29807863733276385,0.0,0.2939115435481837,0.0,0.24624054926688846,0.0,0.35248267146133,0.0,0.0,0.0,0.0,0.0,0.061111122369766235,0.0,0.26301002502441406,0.0,0.32500000298023224,0.0,2,0.0,8,0.0,4,0.0,19280,0.0,9640,0.0,77120,0.0,38560,0.0,115680,0.0,96.5,0.0,76.96,0.0,56.25821878967764,0.0,0.5,0.0,0.64,0.0,0.8278324880759482,0.0,0.375,0.0,0.375,0.0,0.7,0.0,2,0.0,0,0.0,0.6000000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7933086373261085,0.0,0.6781698664620968,0.0
hierarchical_intelligent_no_filter,digits,Fairness-aware weighted hierarchy without anomaly filtering.,1,0.21666666865348816,0.0,2.0519089698791504,0.0,0.21666666865348816,0.0,0.23346653706303772,0.0,0.2532852564102564,0.0,0.1446947177355711,0.0,0.13977465539011943,0.0,0.1446947177355711,0.0,0.12217498222482068,0.0,0.2532852564102564,0.0,0.0,0.0,0.0,0.0,0.030555561184883118,0.0,0.19126009941101074,0.0,0.2013888880610466,0.0,2,0.0,8,0.0,4,0.0,19280,0.0,9640,0.0,77120,0.0,38560,0.0,115680,0.0,95.0,0.0,76.96,0.0,52.86046570672943,0.0,0.5,0.0,0.64,0.0,0.8278324880759482,0.0,0.375,0.0,0.375,0.0,0.7,0.0,2,0.0,0,0.0,0.6000000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7971561663725596,0.0,0.7324583982579318,0.0
hierarchical_random_fedavg,digits,Hierarchical aggregation without intelligent selection or edge security.,1,0.4027777910232544,0.0,1.8520573377609253,0.0,0.4027777910232544,0.0,0.21489327004989653,0.0,0.3779728401679621,0.0,0.25683496030303987,0.0,0.28134309154500703,0.0,0.25683496030303987,0.0,0.14003140420215285,0.0,0.3779728401679621,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.5026975870132446,0.0,0.2527777850627899,0.0,2,0.0,8,0.0,4,0.0,19280,0.0,9640,0.0,77120,0.0,38560,0.0,115680,0.0,93.0,0.0,76.96,0.0,57.55219101162435,0.0,0.5,0.0,0.64,0.0,0.8278324880759482,0.0,0.375,0.0,0.375,0.0,0.7,0.0,2,0.0,0,0.0,0.6000000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7780716531331473,0.0,0.6990233252796595,0.0
proposed,digits,"Full hierarchical method with fairness-aware selection, weighted aggregation, and anomaly filtering.",1,0.21666666865348816,0.0,2.0519089698791504,0.0,0.21666666865348816,0.0,0.23346653706303772,0.0,0.2532852564102564,0.0,0.1446947177355711,0.0,0.13977465539011943,0.0,0.1446947177355711,0.0,0.12217498222482068,0.0,0.2532852564102564,0.0,0.0,0.0,0.0,0.0,0.030555561184883118,0.0,0.19126009941101074,0.0,0.2013888880610466,0.0,2,0.0,8,0.0,4,0.0,19280,0.0,9640,0.0,77120,0.0,38560,0.0,115680,0.0,95.0,0.0,76.96,0.0,52.86046570672943,0.0,0.5,0.0,0.64,0.0,0.8278324880759482,0.0,0.375,0.0,0.375,0.0,0.7,0.0,2,0.0,0,0.0,0.6000000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7971561663725596,0.0,0.7324583982579318,0.0
