method,dataset,description,num_runs,final_accuracy_mean,final_accuracy_std,final_loss_mean,final_loss_std,best_accuracy_mean,best_accuracy_std,final_macro_precision_mean,final_macro_precision_std,final_macro_recall_mean,final_macro_recall_std,final_macro_f1_mean,final_macro_f1_std,final_weighted_f1_mean,final_weighted_f1_std,best_macro_f1_mean,best_macro_f1_std,macro_f1_auc_mean,macro_f1_auc_std,final_balanced_accuracy_mean,final_balanced_accuracy_std,final_worst_class_accuracy_mean,final_worst_class_accuracy_std,mean_worst_class_accuracy_mean,mean_worst_class_accuracy_std,accuracy_gain_mean,accuracy_gain_std,loss_drop_mean,loss_drop_std,accuracy_auc_mean,accuracy_auc_std,round_to_convergence_mean,round_to_convergence_std,total_client_uploads_mean,total_client_uploads_std,total_cloud_uploads_mean,total_cloud_uploads_std,total_payload_to_edge_scalars_mean,total_payload_to_edge_scalars_std,total_payload_to_cloud_scalars_mean,total_payload_to_cloud_scalars_std,total_payload_to_edge_bytes_mean,total_payload_to_edge_bytes_std,total_payload_to_cloud_bytes_mean,total_payload_to_cloud_bytes_std,total_payload_bytes_mean,total_payload_bytes_std,mean_round_latency_proxy_ms_mean,mean_round_latency_proxy_ms_std,mean_train_time_proxy_ms_mean,mean_train_time_proxy_ms_std,total_energy_proxy_mean,total_energy_proxy_std,mean_communication_reduction_mean,mean_communication_reduction_std,final_selection_fairness_mean,final_selection_fairness_std,final_selection_entropy_mean,final_selection_entropy_std,final_participation_gini_mean,final_participation_gini_std,top_20pct_selection_share_mean,top_20pct_selection_share_std,client_coverage_ratio_mean,client_coverage_ratio_std,max_selection_count_mean,max_selection_count_std,min_selection_count_mean,min_selection_count_std,selection_count_std_mean,selection_count_std_std,total_filtered_updates_mean,total_filtered_updates_std,total_attack_clients_mean,total_attack_clients_std,attack_detection_rate_mean,attack_detection_rate_std,attack_escape_rate_mean,attack_escape_rate_std,filter_precision_rate_mean,filter_precision_rate_std,benign_retention_rate_mean,benign_retention_rate_std,mean_safe_client_ratio_mean,mean_safe_client_ratio_std,mean_reference_cosine_mean,mean_reference_cosine_std,min_reference_cosine_mean,min_reference_cosine_std
flat_fedavg_random,digits,Traditional flat FedAvg with random client selection.,5,0.871666669845581,0.04659385509488507,0.39735459089279174,0.09828688765701178,0.8838888883590699,0.026022307658769936,0.8855508786668239,0.03027628983248219,0.8740224411684612,0.0400829561549373,0.8661400627954337,0.05057028208193767,0.8661889910730769,0.053674007357496924,0.8820072320316088,0.02235921299162172,0.6625990650850851,0.04317906845107004,0.8740224411684612,0.0400829561549373,0.5746068660022148,0.1778063907807263,0.2166156132380924,0.09921329661058696,0.5561111122369766,0.12691009135235473,1.6980944275856018,0.10840818330978583,0.6971111109852791,0.034442925176305685,6.4,1.4966629547095767,80,0.0,80,0.0,0,0.0,192800,0.0,0,0.0,771200,0.0,771200,0.0,199.43,6.428576825394563,70.72,2.1495569776118963,594.8680193911941,62.11871002301406,0.0,0.0,0.8804000307498606,0.03293399847606673,0.9743146137833524,0.010200313365924743,0.20274999999999999,0.032695565448543656,0.3025,0.016583123951776996,0.99,0.020000000000000018,6.4,0.4898979485566356,1.2,0.7483314773547883,1.4660828726955386,0.22494668343586954,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5418774844225787,0.0082242169722216,0.30063709700386876,0.058288623630718295
hierarchical_intelligent_fedavg,digits,Intelligent selection with plain FedAvg aggregation.,5,0.8750000119209289,0.014380197573355678,0.39900110363960267,0.046040941591525275,0.8799999952316284,0.0093623926767791,0.8881122905234363,0.007455705366841682,0.8735343291364907,0.012539302081546739,0.8720478081053119,0.012076685528258307,0.8726255706084259,0.013730846167396516,0.8766542939334359,0.009022223969564402,0.6485536676084962,0.029376419632085073,0.8735343291364907,0.012539302081546739,0.5832793173424609,0.1052037206319629,0.22140621806398636,0.07281508587786062,0.5905555635690689,0.09505682779874466,1.6909768283367157,0.053642120373666974,0.6854444459080696,0.03096274037007732,6,0.8944271909999159,80,0.0,20,0.0,192800,0.0,48200,0.0,771200,0.0,192800,0.0,964000,0.0,113.02,6.2789808090167005,69.7216,2.1268953523857252,406.64350878151754,41.84883971914877,0.75,0.0,0.521869878236979,0.032615457253440276,0.8237458007233981,0.028137457080273272,0.5227499999999999,0.03138869223143902,0.4975,0.0050000000000000044,0.74,0.07348469228349534,10,0.0,0,0.0,3.836235533148249,0.2515888197253009,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6271918414022211,0.008615298359947551,0.38188436943297527,0.057878082073396585
hierarchical_intelligent_no_fairness,digits,Weighted hierarchy with filtering but without fairness-aware selection.,5,0.8733333349227905,0.013099802735889102,0.40650840997695925,0.034278029640649244,0.8816666603088379,0.017620839523635745,0.8904808285095521,0.01673385917713972,0.869643414189363,0.014044239108368405,0.8645135257097193,0.01731777352038864,0.8666836597516527,0.014282010565438203,0.8742414383619757,0.024495373353327254,0.6542655234064805,0.023852378045549634,0.869643414189363,0.014044239108368405,0.45294309899663365,0.13793534955191666,0.20269257939658544,0.08044514521304835,0.5894444465637207,0.088041095451394,1.7017546534538268,0.08553469781356368,0.69299999833107,0.026371869934789318,6.4,1.019803902718557,80,0.0,20,0.0,192800,0.0,48200,0.0,771200,0.0,192800,0.0,964000,0.0,114.06,8.128124014801939,70.63680000000001,1.5598613271698203,410.9405078861147,40.48079074510234,0.75,0.0,0.5353779966901098,0.03852020838981832,0.8359097307459765,0.03173488872424178,0.50675,0.03917588543989787,0.495,0.006123724356957951,0.78,0.08124038404635962,10,0.0,0,0.0,3.7358700908329623,0.28857349916392866,6.4,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.010000000000000014,0.92,0.010000000000000014,0.6331175218319974,0.016007580286684264,0.42586711928382426,0.03374775799656829
hierarchical_intelligent_no_filter,digits,Fairness-aware weighted hierarchy without anomaly filtering.,5,0.8872222423553466,0.01961039926571701,0.36188658475875857,0.03186669235744787,0.8950000166893005,0.025903429063526336,0.904098016885791,0.012836873801323818,0.8846136153069408,0.017581092944524597,0.8847415774160655,0.0189565404960453,0.8863686260992562,0.019101195388821216,0.8952269208492565,0.024460421073878205,0.6555211008241579,0.04629805188458662,0.8846136153069408,0.017581092944524597,0.593426960636263,0.1274452227594725,0.2545783909852597,0.09521047355859122,0.6316666841506958,0.07450660094877362,1.7696589589118958,0.044579703302622384,0.6881111121177673,0.03701076089983045,6.4,0.4898979485566356,80,0.0,20,0.0,192800,0.0,48200,0.0,771200,0.0,192800,0.0,964000,0.0,121.22,3.7716839740360006,69.3056,1.8388894039609878,583.2936159272649,58.675641920490456,0.75,0.0,0.8992766779553583,0.019042595457572666,0.9803099286920277,0.004885608781360223,0.18024999999999997,0.021424285285628605,0.295,0.009999999999999986,1.0,0.0,6.8,0.4,1.6,0.4898979485566356,1.3339964632260466,0.14301550999943705,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6217011293744542,0.006210954055778186,0.33875323037025706,0.06759847976439845
hierarchical_random_fedavg,digits,Hierarchical aggregation without intelligent selection or edge security.,5,0.8533333539962769,0.0625191396347107,0.45986459255218504,0.1422433259676368,0.873888897895813,0.044776552737310835,0.8692263294625057,0.05873109020556571,0.8576567174109958,0.056209527227127354,0.8380545166616811,0.07857579563520782,0.8384344337414777,0.08199154464141827,0.8648809932157927,0.05674082158383391,0.6660628562768117,0.060859094332630446,0.8576567174109958,0.056209527227127354,0.4288338493292054,0.3189418634826209,0.20266399828424728,0.12437148461723954,0.5072222381830216,0.1081066005736499,1.650154948234558,0.1326695002043132,0.6996111133694649,0.046888887769591193,5.8,0.7483314773547883,80,0.0,20,0.0,192800,0.0,48200,0.0,771200,0.0,192800,0.0,964000,0.0,121.2,4.099268227379129,69.6384,2.3803053249530786,566.8896693998753,70.17338256879843,0.75,0.0,0.854372405673277,0.02222147950772671,0.967826553558386,0.007365519935797521,0.23099999999999993,0.021828879952943078,0.3125,0.007905694150420955,0.99,0.020000000000000018,7,0.0,0.8,0.4,1.6487553430884048,0.14698917864059388,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6206245703780622,0.007094369081921064,0.32756089650495296,0.06129315720707332
proposed,digits,"Full hierarchical method with fairness-aware selection, weighted aggregation, and anomaly filtering.",5,0.8644444465637207,0.01307622867873177,0.4036379635334015,0.03950609984521545,0.8844444394111634,0.02045772053650888,0.8820947044570728,0.012744275995732622,0.8660050226882282,0.011349609689087124,0.8583024092396078,0.01273349256223763,0.8587072964827551,0.012850394017344776,0.8812444590051011,0.020906477913796632,0.617086422515282,0.04480552386370541,0.8660050226882282,0.011349609689087124,0.43194134031343334,0.06691160826351294,0.19532860070128366,0.07246430630912273,0.5977777808904647,0.0641756834693316,1.7322041690349579,0.04849371767073886,0.65783332914114,0.035660175322196744,7,0.6324555320336759,80,0.0,20,0.0,192800,0.0,48200,0.0,771200,0.0,192800,0.0,964000,0.0,120.72,4.41606159377335,69.8464,2.0649696946928793,589.4211508908984,56.921357559459864,0.75,0.0,0.898513145948093,0.02380864792968086,0.9807167057072848,0.005809710200015225,0.17975,0.024766408702110995,0.3,0.013693063937629165,1.0,0.0,7.2,0.4,1.8,0.4,1.3380666650511555,0.17198139399039353,6.2,1.3266499161421599,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9225,0.016583123951776982,0.9225,0.016583123951776982,0.6372608127262971,0.00767185857947506,0.4177518367646387,0.0321923418621672
