method,client_id,num_runs,data_size_mean,data_size_std,selection_count_mean,selection_count_std,accepted_update_count_mean,accepted_update_count_std,rejected_update_count_mean,rejected_update_count_std,acceptance_rate_mean,acceptance_rate_std,selection_freshness_score_mean,selection_freshness_score_std,selection_pressure_mean,selection_pressure_std,diversity_score_mean,diversity_score_std,historical_utility_mean,historical_utility_std,reliability_score_mean,reliability_score_std,battery_level_mean,battery_level_std,network_latency_mean,network_latency_std
flat_fedavg_random,C1,5,61.6,23.66938951472978,3.4,1.2,3.4,1.2,0,0.0,1.0,0.0,0.35,0.3391164991562634,1.0,0.0,0.5066778901105419,0.058355218744592006,0.45310620056395484,0.14789669329217875,0.7883447671727978,0.0892593918650115,41.8,12.734205903785284,85.2,27.432827050816325
flat_fedavg_random,C10,5,76.8,24.028316628511455,4.2,0.7483314773547883,4.2,0.7483314773547883,0,0.0,1.0,0.0,0.15,0.3,1.0,0.0,0.5675337120104205,0.056495974852612006,0.5074283666922957,0.058600882169341506,0.8455708687387102,0.02970637598029752,46.8,16.436544649043483,70.2,37.2687536684553
flat_fedavg_random,C11,5,56,5.656854249492381,4,0.8944271909999159,4,0.8944271909999159,0,0.0,1.0,0.0,0.2,0.18708286933869708,1.0,0.0,0.5881267514167485,0.07530206951584553,0.5876378877577905,0.1456877479260732,0.8669809459561416,0.07424216088191243,49.6,15.512575543732252,57.6,12.784365451597509
flat_fedavg_random,C12,5,65,20.630075133164205,4,0.6324555320336759,4,0.6324555320336759,0,0.0,1.0,0.0,0.35,0.1224744871391589,1.0,0.0,0.5844715087615917,0.048475630888676145,0.5631988219825514,0.11834463552367921,0.8534022405142923,0.05640693481633232,50.2,22.61327044016411,70,34.158454297582026
flat_fedavg_random,C13,5,76.6,17.165080832900262,5.4,0.4898979485566356,5.4,0.4898979485566356,0,0.0,1.0,0.0,0.35,0.2,1.0,0.0,0.48543156283261973,0.12846777233849493,0.45115302084573106,0.1672576340287002,0.7998854880013264,0.0831169704700446,48,21.60555484129024,69.8,29.226015807838056
flat_fedavg_random,C14,5,82.8,37.231169737197355,4.6,1.624807680927192,4.6,1.624807680927192,0,0.0,1.0,0.0,0.1,0.2,1.0,0.0,0.6008894056715586,0.045169761846957576,0.5346195440192374,0.1013562067575402,0.8258167632369716,0.04792503958434393,56.4,11.46472851837321,70.4,45.292825038851355
flat_fedavg_random,C15,5,62,5.253570214625479,3.8,0.4,3.8,0.4,0,0.0,1.0,0.0,0.1,0.2,1.0,0.0,0.5882539958119308,0.04391296323771511,0.5901407956403149,0.08980924271192997,0.8406567009135136,0.038418699848658235,38.8,16.117071694324622,84.4,18.24938355123263
flat_fedavg_random,C16,5,77.4,14.554724318928201,3,0.8944271909999159,3,0.8944271909999159,0,0.0,1.0,0.0,0.3,0.4,1.0,0.0,0.5457691093027287,0.0648921020609554,0.5364418747651154,0.11132736239652614,0.8326865190681464,0.05351074662029142,49.2,17.679366504487653,49.8,32.91443452347313
flat_fedavg_random,C17,5,64.8,13.6,3.2,1.1661903789690602,3.2,1.1661903789690602,0,0.0,1.0,0.0,0.5,0.3535533905932738,1.0,0.0,0.5134067456455329,0.10659510199165083,0.44624172357133063,0.10159184393147519,0.8231337219942794,0.05552219090159347,57,16.024980499208105,44,39.084523791393444
flat_fedavg_random,C18,5,72.4,29.213695418416343,2.6,1.624807680927192,2.6,1.624807680927192,0,0.0,0.8,0.4,0.45,0.458257569495584,0.8,0.4,0.5099235665774904,0.10230694022717893,0.49299792452970354,0.10689267012864137,0.8180735057924449,0.024216584213771875,45,20.189105973271822,44,36.41977484828812
flat_fedavg_random,C19,5,53.8,21.664717861075413,5,1.0954451150103321,5,1.0954451150103321,0,0.0,1.0,0.0,0.35,0.37416573867739417,1.0,0.0,0.5588771595362756,0.06914391411219949,0.4891311308294101,0.0664337473210021,0.8170010010987386,0.022070241963527266,47.6,16.16910634512619,76.6,48.27670245573945
flat_fedavg_random,C2,5,76.4,22.38392280186831,2.6,1.3564659966250536,2.6,1.3564659966250536,0,0.0,1.0,0.0,0.45,0.33166247903553997,1.0,0.0,0.5858650438440219,0.03927282369017501,0.544943866758113,0.13292826635780727,0.8471834408752268,0.06891159033377692,41,10.411532067856296,40.2,17.83704011320264
flat_fedavg_random,C20,5,98.2,26.40757467091592,4.4,0.4898979485566356,4.4,0.4898979485566356,0,0.0,1.0,0.0,0.4,0.406201920231798,1.0,0.0,0.6118265632430223,0.030261771555823998,0.5889725624235089,0.06212383205188782,0.8580292317445563,0.03196429929565645,42.4,18.778711350888802,83.8,32.43084951092092
flat_fedavg_random,C3,5,58.8,18.214280112043955,5.4,0.8,5.4,0.8,0,0.0,1.0,0.0,0.25,0.27386127875258304,1.0,0.0,0.5314800268144226,0.06552564936065787,0.4247542812177323,0.07461493687910559,0.7995286195419851,0.051712016673425,43.4,18.084247288731707,82.8,22.990432792794483
flat_fedavg_random,C4,5,82.8,25.43540839066674,3.2,1.7204650534085253,3.2,1.7204650534085253,0,0.0,1.0,0.0,0.4,0.4898979485566356,1.0,0.0,0.512343531826066,0.05401881494188358,0.5151104092829162,0.06192880683854425,0.8216694766279394,0.02412245843286204,55,19.88969582472291,47.8,39.280529527998986
flat_fedavg_random,C5,5,64.8,17.16275036233995,5.4,0.8,5.4,0.8,0,0.0,1.0,0.0,0.4,0.3391164991562634,1.0,0.0,0.5844102277854324,0.04268519921469717,0.5222518711408985,0.07520115624750398,0.8273556257313066,0.04853783527426634,47.2,14.048487463068756,92.4,27.63765547219952
flat_fedavg_random,C6,5,79,27.24701818548224,3.6,1.8547236990991407,3.6,1.8547236990991407,0,0.0,1.0,0.0,0.2,0.29154759474226505,1.0,0.0,0.5417364404121807,0.059261337171933194,0.5880052635951375,0.11488579290770466,0.8702527538026641,0.038018364918414545,55.4,12.737346662472527,48.8,19.913814300630605
flat_fedavg_random,C7,5,85.8,27.117522010685267,3.6,1.3564659966250536,3.6,1.3564659966250536,0,0.0,1.0,0.0,0.55,0.4,1.0,0.0,0.5267311757536163,0.0696135896972595,0.5081801253058499,0.11284352345609303,0.8070454574969224,0.05632616605844694,37.6,13.92264342716569,66,37.44329045369811
flat_fedavg_random,C8,5,75,16.29723902997069,4,1.8973665961010275,4,1.8973665961010275,0,0.0,1.0,0.0,0.35,0.25495097567963926,1.0,0.0,0.5433842228242708,0.05382531445967922,0.4745413651897268,0.14785726391444254,0.8249761292113296,0.07066811388251816,51.6,18.05103875127412,77.8,34.33598695246723
flat_fedavg_random,C9,5,67,14.791889669680478,4.6,1.3564659966250536,4.6,1.3564659966250536,0,0.0,1.0,0.0,0.2,0.18708286933869708,1.0,0.0,0.5609180386353718,0.08773899775211681,0.5337780159042684,0.1566263900691307,0.8281260181694311,0.07889382415945016,50.4,13.032267646115928,56.2,22.03088740836374
hierarchical_intelligent_fedavg,C1,5,61.6,23.66938951472978,2,2.280350850198276,2,2.280350850198276,0,0.0,0.6,0.4898979485566356,0.7,0.3674234614174767,0.6,0.4898979485566356,0.5066778901105419,0.058355218744592006,0.5676991066304755,0.10147432788682507,0.8251809074224987,0.04471668290767941,41.8,12.734205903785284,85.2,27.432827050816325
hierarchical_intelligent_fedavg,C10,5,76.8,24.028316628511455,3.4,3.5552777669262356,3.4,3.5552777669262356,0,0.0,0.8,0.4,0.4,0.4898979485566356,0.8,0.4,0.5675337120104205,0.056495974852612006,0.5721565629230668,0.032178924666632004,0.8879372116115035,0.048614771713741074,46.8,16.436544649043483,70.2,37.2687536684553
hierarchical_intelligent_fedavg,C11,5,56,5.656854249492381,6.2,3.7094473981982814,6.2,3.7094473981982814,0,0.0,0.8,0.4,0.25,0.3872983346207417,0.8,0.4,0.5881267514167485,0.07530206951584553,0.658395803169166,0.1561909809244042,0.9058767368082675,0.07802079880752011,49.6,15.512575543732252,57.6,12.784365451597509
hierarchical_intelligent_fedavg,C12,5,65,20.630075133164205,6,4.898979485566356,6,4.898979485566356,0,0.0,0.6,0.4898979485566356,0.4,0.4898979485566356,0.6,0.4898979485566356,0.5844715087615917,0.048475630888676145,0.6188493984651403,0.047644861731883745,0.8681587948410837,0.031834124996772566,50.2,22.61327044016411,70,34.158454297582026
hierarchical_intelligent_fedavg,C13,5,76.6,17.165080832900262,2.2,3.4871191548325386,2.2,3.4871191548325386,0,0.0,0.4,0.4898979485566356,0.65,0.43588989435406733,0.4,0.4898979485566356,0.48543156283261973,0.12846777233849493,0.5946052632289247,0.11502586232069772,0.8899855373341564,0.052643870380196425,48,21.60555484129024,69.8,29.226015807838056
hierarchical_intelligent_fedavg,C14,5,82.8,37.231169737197355,5,4.1952353926806065,5,4.1952353926806065,0,0.0,0.8,0.4,0.5,0.4472135954999579,0.8,0.4,0.6008894056715586,0.045169761846957576,0.5610296999023082,0.11596726176486506,0.8352091469897981,0.05952494763713836,56.4,11.46472851837321,70.4,45.292825038851355
