method,round,accuracy_mean,accuracy_std,loss_mean,loss_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,worst_class_accuracy_mean,worst_class_accuracy_std,class_accuracy_std_mean,class_accuracy_std_std,selected_clients_mean,selected_clients_std,safe_clients_mean,safe_clients_std,client_uploads_mean,client_uploads_std,cloud_uploads_mean,cloud_uploads_std,payload_to_edge_scalars_mean,payload_to_edge_scalars_std,payload_to_cloud_scalars_mean,payload_to_cloud_scalars_std,payload_to_edge_bytes_mean,payload_to_edge_bytes_std,payload_to_cloud_bytes_mean,payload_to_cloud_bytes_std,total_payload_bytes_mean,total_payload_bytes_std,energy_proxy_mean,energy_proxy_std,mean_selected_latency_ms_mean,mean_selected_latency_ms_std,max_selected_latency_ms_mean,max_selected_latency_ms_std,mean_train_time_proxy_ms_mean,mean_train_time_proxy_ms_std,round_latency_proxy_ms_mean,round_latency_proxy_ms_std,filtered_updates_mean,filtered_updates_std,selection_fairness_mean,selection_fairness_std,selection_entropy_mean,selection_entropy_std,participation_gini_mean,participation_gini_std,top_20pct_selection_share_mean,top_20pct_selection_share_std,attack_clients_mean,attack_clients_std,blocked_adversarial_mean,blocked_adversarial_std,accepted_adversarial_mean,accepted_adversarial_std,blocked_benign_mean,blocked_benign_std,security_recall_mean,security_recall_std,filter_precision_mean,filter_precision_std,benign_retention_mean,benign_retention_std,mean_reference_cosine_mean,mean_reference_cosine_std,min_reference_cosine_mean,min_reference_cosine_std,communication_reduction_mean,communication_reduction_std,safe_client_ratio_mean,safe_client_ratio_std
flat_fedavg_random,1,0.31555555760860443,0.10759147604802526,2.0954490184783934,0.04546808826140553,0.2768716305703885,0.14292562779021892,0.32194773319483977,0.11430622159021252,0.23991978862497979,0.12376847976079462,0.22845846445046972,0.12008487282953155,0.32194773319483977,0.11430622159021252,0.0,0.0,0.3678823666463264,0.03650880733453459,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,59.80545269057237,17.142912684515444,64.95,8.065590492952143,106.8,7.652450587883597,71.55199999999999,3.626603921025837,186.9,13.391788528796294,0,0.0,0.4,0.0,0.6941346394792774,0.0,0.5999999999999999,0.0,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5313799111137869,0.026194077457662855,0.37192255428554566,0.07320555264786179,0.0,0.0,1.0,0.0
flat_fedavg_random,2,0.4850000083446503,0.06879923514035376,1.6793169021606444,0.08335488932684174,0.5007075304768662,0.05253791013056041,0.48430353485397853,0.04411584656185982,0.417430967622908,0.06396519520619982,0.41475166257768475,0.07615345227897737,0.48430353485397853,0.04411584656185982,0.0,0.0,0.38470954775839833,0.014930261577276978,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,56.874520627251876,12.674129799529881,63.425,13.48879164343493,111.2,7.4404300950953095,69.472,2.1211921176545965,194.6,13.020752666416792,0,0.0,0.5978554778554779,0.10647087839328723,0.838746022704127,0.0483962254904128,0.4262499999999999,0.11920308301382142,0.425,0.09185586535436918,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5849062717319469,0.03550430867962377,0.45444778073665926,0.065598438243922,0.0,0.0,1.0,0.0
flat_fedavg_random,3,0.5588889002799988,0.0543593417477339,1.3445090532302857,0.04745835223771347,0.6281119542957269,0.12198201482528058,0.5648636407726645,0.05256874982856294,0.5060459790425165,0.07802619590405012,0.505946749426816,0.08026502029457068,0.5648636407726645,0.05256874982856294,0.0,0.0,0.38236311028036973,0.029635396055802343,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,57.30563405171999,4.464687064085779,67.6,7.314113069949083,115.8,6.20966987850401,71.136,2.425675988255643,202.65,10.866922287382017,0,0.0,0.6991565871199739,0.06996942396886982,0.9031869038763848,0.02878607607339441,0.35000000000000003,0.06800735254367724,0.375,0.03726779962499651,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6195903609354635,0.024054543429226877,0.42470332085986995,0.052862036277983575,0.0,0.0,1.0,0.0
flat_fedavg_random,4,0.6866666674613953,0.042687505404002846,1.0145161986351012,0.09929530651197714,0.7378726843733407,0.04151964512300932,0.6903104116909599,0.03876590969015527,0.6486951339971108,0.05808534803198514,0.6521988837629127,0.06345192136422552,0.6903104116909599,0.03876590969015527,0.0876068376068376,0.16168310803382865,0.3209133052846198,0.06603158031781022,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,57.7224978610409,8.114786658310768,70.475,5.138336306626884,111.8,9.927738916792686,72.8,4.363044808387833,195.65,17.3735431043872,0,0.0,0.7332000983613887,0.06685443768637273,0.9185802009755027,0.023684924383206872,0.31999999999999995,0.0646988214730377,0.35,0.04592793267718459,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6100724092145756,0.041761463056601715,0.47023878102562616,0.07995041305264114,0.0,0.0,1.0,0.0
flat_fedavg_random,5,0.7899999856948853,0.06931321339206761,0.7544773340225219,0.1115692390698539,0.8086364302453427,0.08627304378384956,0.7873329468300574,0.06999266988025306,0.7706083183721087,0.09140676453745232,0.7702450856304817,0.09136689763973892,0.7873329468300574,0.06999266988025306,0.3702082863373186,0.29042131113868014,0.20738453639483936,0.10217271477575506,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,53.335236656800475,3.6389973779017075,69.85,9.066904102283203,117.8,7.626270385975047,68.64,3.4805057103817516,206.15,13.345973175456333,0,0.0,0.7740080045740424,0.03774533553680192,0.9390232908084977,0.014887272614474261,0.2899999999999999,0.029916550603303223,0.35,0.02738612787525831,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5521865022872643,0.0127498146053857,0.42585493935346225,0.03529757117517062,0.0,0.0,1.0,0.0
flat_fedavg_random,6,0.7722222089767456,0.06958874208719523,0.7015342116355896,0.14117821535400724,0.808062994581514,0.06384439247105031,0.7750687682168316,0.06745385786084704,0.7466414792907359,0.08809112814420494,0.7483647089224745,0.08805233881216978,0.7750687682168316,0.06745385786084704,0.2309469524243806,0.19873307931052478,0.2517219332794909,0.08179573827293901,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,55.35191984919321,5.951069944424884,71.675,5.327757501988994,117.6,4.758150901348127,69.056,2.0379754659956024,205.8,8.326764077359224,0,0.0,0.807897483247449,0.03076025029058106,0.9524443161357752,0.010889009455058775,0.26791666666666664,0.02894559072159737,0.3375,0.0155902391115581,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5480136979401034,0.0243535885163254,0.4416468451356053,0.049631347443476324,0.0,0.0,1.0,0.0
flat_fedavg_random,7,0.8133333325386047,0.06127251820478881,0.5504426836967469,0.11738335248757696,0.8325851853992512,0.05493424834590342,0.8100363453076641,0.057911960085913566,0.7836267468187834,0.07183590113763326,0.7874886109821637,0.07428832347445874,0.8100363453076641,0.057911960085913566,0.19670732368406788,0.19371076515213648,0.2560455551932419,0.07045703509330219,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,60.93729605486389,4.0007100402502855,67.9,7.71864625436352,116.0,3.7416573867739413,70.72,1.8604085572798235,203.0,6.547900426854397,0,0.0,0.8226415100544238,0.02661925844359431,0.9563492455203596,0.010729229217050848,0.2542857142857142,0.02359846933811684,0.32857142857142857,0.0142857142857143,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5294287230162199,0.029023940955675204,0.3683081362872205,0.06398469357377477,0.0,0.0,1.0,0.0
flat_fedavg_random,8,0.8277777791023254,0.0471404591035784,0.4958068072795868,0.09414019796424604,0.8243251941055515,0.0760931614016479,0.8242908992046762,0.04653465250640797,0.8036075633407312,0.06355908859397982,0.8105676023097245,0.05850966502331096,0.8242908992046762,0.04653465250640797,0.25182605811880776,0.24438915739294712,0.22672946954781445,0.0682022304852912,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,62.10924057427436,5.750693384789289,62.15,14.173125978414218,109.8,15.929846201391902,71.136,2.0379754659956024,192.15,27.87723085243583,0,0.0,0.8434890348397796,0.03477167482303094,0.9637192333969259,0.012703477334437044,0.23499999999999996,0.03192398197280532,0.328125,0.01711632992203644,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4846054944098556,0.02024408657788774,0.3603036471013765,0.06005441596292783,0.0,0.0,1.0,0.0
flat_fedavg_random,9,0.85,0.03509247660350176,0.43690361380577086,0.07658392723478871,0.8654151324216593,0.03114975300590091,0.8534716118799861,0.031363084115328815,0.8432746109455433,0.0350111100024173,0.8440306013916573,0.03591459643856975,0.8534716118799861,0.031363084115328815,0.4542538082072966,0.12620991078226151,0.17158972121112526,0.03165565241463347,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,64.27505701770193,4.461045677606766,71.8,9.036938087648936,119.0,6.603029607687671,71.55199999999999,5.359785070317648,208.25,11.555301813453426,0,0.0,0.8614924898439633,0.04214208450040337,0.969060473444275,0.014385388216571473,0.21972222222222215,0.041251636705277504,0.3138888888888889,0.020786985482077438,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4852868522319924,0.01985669594251531,0.33974632801273885,0.0573035727791744,0.0,0.0,1.0,0.0
flat_fedavg_random,10,0.871666669845581,0.04659385509488507,0.39735459089279174,0.09828688765701178,0.8855508786668239,0.03027628983248219,0.8740224411684612,0.0400829561549373,0.8661400627954337,0.05057028208193767,0.8661889910730769,0.053674007357496924,0.8740224411684612,0.0400829561549373,0.5746068660022148,0.1778063907807263,0.13792161008726792,0.062487571610402276,8,0.0,8,0.0,8,0.0,8,0.0,0,0.0,19280,0.0,0,0.0,77120,0.0,77120,0.0,67.15116400777514,8.209184036309715,64.15,10.861169366141015,113.8,9.987992791347018,71.136,6.36357635296379,199.15,17.47898738485728,0,0.0,0.8804000307498606,0.03293399847606673,0.9743146137833524,0.010200313365924743,0.20274999999999999,0.032695565448543656,0.3025,0.016583123951776996,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4733046213445782,0.029095833692052674,0.37525175387131116,0.02878683193801403,0.0,0.0,1.0,0.0
hierarchical_intelligent_fedavg,1,0.28444444835186006,0.09867329506335004,2.0899779319763185,0.08261764826436661,0.2913993731551375,0.13450940954257462,0.2769706087295891,0.10994006326476406,0.19323987677032367,0.11181239050182222,0.19636213974964004,0.10566345266383519,0.2769706087295891,0.10994006326476406,0.0,0.0,0.3697728562868354,0.036475556310994035,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,39.012842767785465,6.091128426225917,56.975,3.955534097944297,107.0,11.541230437002806,69.888,4.282982138650594,117.0,11.541230437002806,0,0.0,0.4,0.0,0.6941346394792774,0.0,0.5999999999999999,0.0,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6557243014323137,0.01064213835875636,0.4972800869625392,0.040677369271611065,0.75,0.0,1.0,0.0
hierarchical_intelligent_fedavg,2,0.38444445133209226,0.06333333034264449,1.7148445129394532,0.11150194353242118,0.4096414170263103,0.08848248722448337,0.3844854323359716,0.0526331669624248,0.3049721358403594,0.07053753282879162,0.3030378085302997,0.0819077768098115,0.3844854323359716,0.0526331669624248,0.0,0.0,0.3986794942264297,0.030644656253040223,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,37.43178923707496,6.1973767766784125,53.425,5.95273046592906,106.4,10.307278981380101,71.968,1.0189877329978037,116.4,10.307278981380101,0,0.0,0.46417582417582415,0.014065934065934083,0.7577636480982113,0.01156891065798793,0.56875,0.0125,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6968569227883297,0.03703388430968947,0.5455582292818352,0.040167612419577725,0.75,0.0,1.0,0.0
hierarchical_intelligent_fedavg,3,0.5794444501399993,0.08135808086128557,1.2827646732330322,0.18271951679382453,0.5820868524423657,0.13661659018402114,0.5728641535162956,0.07450351504456085,0.5073963131508097,0.07849632637670524,0.5088807157430547,0.08829461348586844,0.5728641535162956,0.07450351504456085,0.015384615384615385,0.03076923076923077,0.3990968879431329,0.028090153709972414,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,38.053270692445764,5.22893444087212,53.15,3.654962380107352,98.2,11.142710621747295,70.72,2.2785258392214893,108.2,11.142710621747295,0,0.0,0.49016748768472906,0.013657091541936842,0.7853811686006074,0.010507728673174357,0.5508333333333333,0.010992421631894131,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6943906170005972,0.02840988735680111,0.5378182656140317,0.08880729009975238,0.75,0.0,1.0,0.0
hierarchical_intelligent_fedavg,4,0.6594444394111634,0.054845456128380154,0.9876059651374817,0.11014152211389655,0.7291288960177547,0.061458851767008854,0.6594663331876007,0.04967415880981062,0.6181297949738788,0.054247127787378134,0.6161017587807188,0.06334699811903684,0.6594663331876007,0.04967415880981062,0.02245614035087719,0.03105610050997728,0.3369702163934342,0.03370373988622487,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,38.835101567089,5.7105300466856646,53.15,4.6686454138218725,107.4,4.923413450036469,71.136,1.5565294728979613,117.4,4.923413450036469,0,0.0,0.5066139314942233,0.018696109039568237,0.801799441136953,0.012739508103860714,0.5399999999999999,0.015103807466993174,0.49375,0.0125,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6625975461821497,0.013072451955354527,0.49430063980337313,0.06531689998180779,0.75,0.0,1.0,0.0
hierarchical_intelligent_fedavg,5,0.7516666650772095,0.05852085185691898,0.7906188488006591,0.11122468015572723,0.785531721039022,0.08725121380751803,0.746948660433132,0.05323848708018634,0.7250327969325151,0.06443859854087564,0.7235846290699772,0.07164266341501346,0.746948660433132,0.05323848708018634,0.15411534701857282,0.1717920679420708,0.2836652870019404,0.0725096776597159,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,38.3718951265118,2.4641266573419753,48.65,4.643813088400523,93.0,8.988882021697693,67.808,4.282982138650591,103.0,8.988882021697693,0,0.0,0.5152893796973301,0.024496265544683034,0.81234523759319,0.017327200931389702,0.5315,0.020285462775100755,0.495,0.010000000000000009,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6321375561547963,0.02786336959138351,0.4839437601018108,0.0814505502820688,0.75,0.0,1.0,0.0
